id,name,categories,provinces,primaryType,rating,reviewsCount,address,phone,website,googleMapsUrl,lat,lng,priceHint,hours,plusCode
"687b39e1f1e7b170","Tres Hijos Hotel & Resort","resorts|hotels","Albay|Masbate","Hotel","4.5","74","4.5(74)","","","https://www.google.com/maps/place/Tres+Hijos+Hotel+%26+Resort/data=!4m10!3m9!1s0x33a1ab23f8ce161f:0x687b39e1f1e7b170!5m2!4m1!1i2!8m2!3d13.2325461!4d123.7708642!16s%2Fg%2F11sgqk5p5y!19sChIJHxbO-COroTMRcLHn8eE5e2g?authuser=0&hl=en&rclk=1","13.2325461","123.7708642","","",""
"4d3210891a17b5e9","TRIBOO GRILL","food","Camarines Sur","","4","236","4.0(236)","","","https://www.google.com/maps/place/TRIBOO+GRILL/data=!4m7!3m6!1s0x33a18ccbbf38bc0f:0x4d3210891a17b5e9!8m2!3d13.6240792!4d123.1948446!16s%2Fg%2F12qh65kbv!19sChIJD7w4v8uMoTMR6bUXGokQMk0?authuser=0&hl=en&rclk=1","13.6240792","123.1948446","₱400–1,000","Open · Closes 9 PM",""
"f973ddc96b35e09a","Trinity Islands","beaches","Albay","Tourist attraction","4.5","60","4.5(60)","","","https://www.google.com/maps/place/Trinity+Islands/data=!4m7!3m6!1s0x33a1696122eb5109:0xf973ddc96b35e09a!8m2!3d13.0523707!4d123.2850143!16s%2Fg%2F11gvzk6v3k!19sChIJCVHrImFpoTMRmuA1a8ndc_k?authuser=0&hl=en&rclk=1","13.0523707","123.2850143","","",""
"83a18648c5a51840","Trios Lake Resort","staycations","Masbate","Resort hotel","4.5","15","4.5(15)","","","https://www.google.com/maps/place/Trios+Lake+Resort/data=!4m7!3m6!1s0x33a687999d221221:0x83a18648c5a51840!8m2!3d12.0450634!4d123.1977999!16s%2Fg%2F11khhwvjwq!19sChIJIRIinZmHpjMRQBilxUiGoYM?authuser=0&hl=en&rclk=1","12.0450634","123.1977999","","",""
"7a912decee8ff7b0","Trip Inn Legazpi City near Airport","hotels","Albay","2-star hotel","3.8","70","3.8(70)","","","https://www.google.com/maps/place/Trip+Inn+Legazpi+City+near+Airport/data=!4m10!3m9!1s0x33a1017e441e890b:0x7a912decee8ff7b0!5m2!4m1!1i2!8m2!3d13.1467362!4d123.7487312!16s%2Fg%2F11fkds2nnn!19sChIJC4keRH4BoTMRsPeP7uwtkXo?authuser=0&hl=en&rclk=1","13.1467362","123.7487312","","",""
"42094d6ca5e63418","Tropical Hot Spring Paradise","beaches","Sorsogon","Beach","4","21","4.0(21)","","","https://www.google.com/maps/place/Tropical+Hot+Spring+Paradise/data=!4m7!3m6!1s0x33a0c593d7feba83:0x42094d6ca5e63418!8m2!3d12.717956!4d124.036314!16s%2Fg%2F11bzvvpbch!19sChIJg7r-15PFoDMRGDTmpWxNCUI?authuser=0&hl=en&rclk=1","12.717956","124.036314","","",""
"615e6bdf747b4135","Tryangle Cafe","food","Camarines Sur","","5","4","5.0(4)","","","https://www.google.com/maps/place/Tryangle+Cafe/data=!4m7!3m6!1s0x33a1930017a9b83d:0x615e6bdf747b4135!8m2!3d13.5613036!4d123.2765576!16s%2Fg%2F11x03jh_bh!19sChIJPbipFwCToTMRNUF7dN9rXmE?authuser=0&hl=en&rclk=1","13.5613036","123.2765576","","Open · Closes 11 PM",""
"7a9ee535fff95f14","Tsibugan Sa Polvorista-Burgos Branch","food","Sorsogon","Restaurant","4","2","4.0(2)","","","https://www.google.com/maps/place/Tsibugan+Sa+Polvorista-Burgos+Branch/data=!4m7!3m6!1s0x33a0ef16830c9429:0x7a9ee535fff95f14!8m2!3d12.9708935!4d124.0031563!16s%2Fg%2F11fyz9s7_h!19sChIJKZQMgxbvoDMRFF_5_zXlnno?authuser=0&hl=en&rclk=1","12.9708935","124.0031563","","",""
"f40d86093691054e","Tubli Beach","beaches","Catanduanes","Park","","","Waiting Shed","","","https://www.google.com/maps/place/Tubli+Beach/data=!4m7!3m6!1s0x339f8d26a648fe03:0xf40d86093691054e!8m2!3d13.9364889!4d124.1476378!16s%2Fg%2F11r9ns4yhv!19sChIJA_5IpiaNnzMRTgWRNgmGDfQ?authuser=0&hl=en&rclk=1","13.9364889","124.1476378","","Open now",""
"342c13a8405025de","Tugawe Cove Cafe","food","Camarines Sur","Cafe","4.3","115","4.3(115)","","","https://www.google.com/maps/place/Tugawe+Cove+Cafe/data=!4m7!3m6!1s0x33a18cc739f65545:0x342c13a8405025de!8m2!3d13.6230014!4d123.1941704!16s%2Fg%2F11f1lqscdw!19sChIJRVX2OceMoTMR3iVQQKgTLDQ?authuser=0&hl=en&rclk=1","13.6230014","123.1941704","₱1–500","Open · Closes 10 PM",""
